wd,ws,freq_val
60,22,0
60,23,0
60,24,0
60,25,0
60,26,5.43E-06
60,27,0
60,28,0
60,29,0
60,30,0
65,0,9.78E-05
65,1,0.000374788
65,2,0.000716986
65,3,0.00123843
65,4,0.001629514
65,5,0.001569765
65,6,0.001765307
65,7,0.001450267
65,8,0.001444836
65,9,0.001102638
65,10,0.000657237
65,11,0.000391083
65,12,0.000233564
65,13,0.000200973
65,14,9.78E-05
65,15,9.23E-05
65,16,1.09E-05
65,17,5.43E-06
65,18,0
65,19,5.43E-06
65,20,5.43E-06
65,21,0
65,22,0
65,23,0
65,24,0
65,25,0
65,26,0
65,27,0
65,28,0
65,29,0
65,30,0
70,0,9.78E-05
70,1,0.00041281
70,2,0.000803893
70,3,0.001254726
70,4,0.001558901
70,5,0.001678399
70,6,0.001564333
70,7,0.001564333
70,8,0.001216704
70,9,0.000896233
70,10,0.000619215
70,11,0.000472559
70,12,0.00019011
70,13,0.000119498
70,14,0.000103203
70,15,6.52E-05
70,16,4.35E-05
70,17,1.09E-05
70,18,5.43E-06
70,19,5.43E-06
70,20,0
70,21,0
70,22,0
70,23,0
70,24,0
70,25,0
70,26,0
70,27,0
70,28,0
70,29,0
70,30,0
75,0,0.000103203
75,1,0.000325903
75,2,0.000814757
75,3,0.001260157
75,4,0.001607787
75,5,0.001678399
75,6,0.001949985
75,7,0.001504584
75,8,0.001287316
75,9,0.000749576
75,10,0.000521444
75,11,0.000342198
75,12,0.000173815
75,13,0.000130361
75,14,5.43E-05
75,15,4.89E-05
75,16,3.26E-05
75,17,2.17E-05
75,18,0
75,19,5.43E-06
75,20,0
75,21,0
75,22,0
75,23,0
75,24,0
75,25,0
75,26,0
75,27,0
75,28,0
75,29,0
75,30,0
80,0,9.78E-05
80,1,0.000385652
80,2,0.00082562
80,3,0.001314474
80,4,0.001683831
80,5,0.00158606
80,6,0.001846782
80,7,0.001510016
80,8,0.001113501
80,9,0.000624647
80,10,0.000488854
80,11,0.000331334
80,12,0.000146656
80,13,0.000103203
80,14,4.89E-05
80,15,3.26E-05
80,16,3.80E-05
80,17,2.17E-05
80,18,0
80,19,0
80,20,5.43E-06
80,21,0
80,22,0
80,23,0
80,24,0
80,25,0
80,26,0
80,27,0
80,28,0
80,29,0
80,30,0
85,0,0.00015752
85,1,0.000374788
85,2,0.000939686
85,3,0.001352496
85,4,0.001645809
85,5,0.001835919
85,6,0.001613219
85,7,0.001368792
85,8,0.001200408
85,9,0.000678964
85,10,0.000456264
85,11,0.000249859
85,12,0.000168383
85,13,5.43E-05
85,14,3.26E-05
85,15,2.17E-05
85,16,2.72E-05
85,17,5.43E-06
85,18,1.09E-05
85,19,5.43E-06
85,20,0
85,21,5.43E-06
85,22,0
85,23,0
85,24,0
85,25,0
85,26,0
85,27,0
85,28,0
85,29,0
85,30,0
90,0,0.000124929
90,1,0.00038022
90,2,0.000841915
90,3,0.001412245
90,4,0.001797897
90,5,0.002085778
90,6,0.001863077
90,7,0.001433972
90,8,0.001146091
90,9,0.000755008
90,10,0.000499718
90,11,0.000287881
90,12,0.00019011
90,13,8.15E-05
90,14,4.35E-05
90,15,6.52E-05
90,16,2.17E-05
90,17,1.63E-05
90,18,1.09E-05
90,19,5.43E-06
90,20,5.43E-06
90,21,0
90,22,0
90,23,0
90,24,0
90,25,0
90,26,0
90,27,0
90,28,0
90,29,0
90,30,0
95,0,0.000130361
95,1,0.000353061
95,2,0.000912528
95,3,0.001542606
95,4,0.002009734
95,5,0.002129231
95,6,0.00199887
95,7,0.001645809
95,8,0.001124364
95,9,0.000749576
95,10,0.000467127
95,11,0.000287881
95,12,0.000228132
95,13,9.23E-05
95,14,6.52E-05
95,15,4.89E-05
95,16,4.35E-05
95,17,5.43E-06
95,18,5.43E-06
95,19,0
95,20,0
95,21,0
95,22,0
95,23,0
95,24,0
95,25,0
95,26,0
95,27,0
95,28,0
95,29,0
95,30,0
100,0,0.000135793
100,1,0.000429105
100,2,0.00098314
100,3,0.001499153
100,4,0.001922826
100,5,0.002265024
100,6,0.002237866
100,7,0.001738148
100,8,0.001091774
100,9,0.000684396
100,10,0.000391083
100,11,0.000363925
100,12,0.000217269
100,13,0.000124929
100,14,6.52E-05
100,15,5.43E-05
100,16,1.09E-05
100,17,1.63E-05
100,18,5.43E-06
100,19,1.09E-05
100,20,0
100,21,0
100,22,5.43E-06
100,23,0
100,24,0
100,25,0
100,26,0
100,27,0
100,28,0
100,29,0
100,30,0
105,0,0.000119498
105,1,0.000396515
105,2,0.001167818
105,3,0.001569765
105,4,0.002064051
105,5,0.002216139
105,6,0.002400817
105,7,0.001884804
105,8,0.001488289
105,9,0.000831052
105,10,0.00063551
105,11,0.000282449
105,12,0.000217269
105,13,0.000119498
105,14,9.78E-05
105,15,4.89E-05
105,16,1.63E-05
105,17,1.09E-05
105,18,1.09E-05
105,19,1.63E-05
105,20,0
105,21,0
105,22,0
105,23,0
105,24,0
105,25,0
105,26,0
105,27,0
105,28,0
105,29,0
105,30,0
110,0,9.23E-05
110,1,0.000559466
110,2,0.001059184
110,3,0.001634945
110,4,0.002058619
110,5,0.002395385
110,6,0.002563768
110,7,0.001971712
110,8,0.00155347
110,9,0.001032025
110,10,0.000592057
110,11,0.000336766
110,12,0.000266154
110,13,0.000146656
110,14,9.23E-05
110,15,4.35E-05
110,16,2.17E-05
110,17,0
110,18,5.43E-06
110,19,0
110,20,1.09E-05
110,21,5.43E-06
110,22,5.43E-06
110,23,0
110,24,0
110,25,0
110,26,0
110,27,0
110,28,0
110,29,0
110,30,0
115,0,0.000141225
115,1,0.000526876
115,2,0.001010299
115,3,0.001689263
115,4,0.002140095
115,5,0.002590927
115,6,0.002482293
115,7,0.002178117
115,8,0.001911963
115,9,0.001309043
115,10,0.000738713
115,11,0.000505149
115,12,0.000244427
115,13,0.000168383
115,14,0.000124929
115,15,3.26E-05
115,16,2.72E-05
115,17,3.26E-05
115,18,5.43E-06
115,19,1.63E-05
115,20,5.43E-06
115,21,5.43E-06
115,22,0
115,23,0
115,24,0
115,25,0
115,26,0
115,27,0
115,28,0
115,29,0
115,30,0
120,0,0.000130361
120,1,0.000526876
120,2,0.001156955
120,3,0.002015165
120,4,0.002351932
120,5,0.002498588
120,6,0.003210142
120,7,0.002965715
120,8,0.002493156
120,9,0.001580628
120,10,0.001075479
120,11,0.000657237
120,12,0.000391083
120,13,0.000266154
120,14,0.000141225
120,15,4.89E-05
120,16,3.80E-05
120,17,1.63E-05
120,18,0
120,19,5.43E-06
120,20,0
120,21,5.43E-06
120,22,0
120,23,5.43E-06
120,24,5.43E-06
120,25,0
120,26,0
120,27,0
120,28,0
120,29,0
120,30,0
125,0,0.000114066
125,1,0.000597488
125,2,0.001097206
125,3,0.001825055
125,4,0.002455134
125,5,0.003096076
125,6,0.003427411
125,7,0.0030146
125,8,0.002715856
125,9,0.001819624
125,10,0.001406814
125,11,0.00079303
125,12,0.000586625
125,13,0.000277017
125,14,0.00015752
125,15,0.000119498
125,16,3.80E-05
125,17,2.17E-05
125,18,0
125,19,1.63E-05
125,20,5.43E-06
125,21,0
125,22,0
125,23,0
125,24,5.43E-06
125,25,0
125,26,5.43E-06
125,27,0
125,28,0
125,29,0
125,30,0
130,0,0.000146656
130,1,0.000586625
130,2,0.001064616
130,3,0.001928258
130,4,0.002688698
130,5,0.003128666
