wd,ws,freq_val
15,34,0
15,35,0
15,36,0
15,37,0
15,38,0
20,0,7.60E-05
20,1,0.000298744
20,2,0.000521444
20,3,0.000678964
20,4,0.000901664
20,5,0.000939686
20,6,0.000999435
20,7,0.000977708
20,8,0.001097206
20,9,0.000879937
20,10,0.000809325
20,11,0.000814757
20,12,0.000640942
20,13,0.000640942
20,14,0.000342198
20,15,0.000238995
20,16,0.000217269
20,17,0.000244427
20,18,0.000228132
20,19,0.000168383
20,20,0.000124929
20,21,5.43E-05
20,22,5.97E-05
20,23,2.17E-05
20,24,5.97E-05
20,25,3.80E-05
20,26,2.17E-05
20,27,1.63E-05
20,28,1.09E-05
20,29,3.80E-05
20,30,0
20,31,0
20,32,1.63E-05
20,33,5.43E-06
20,34,1.63E-05
20,35,1.63E-05
20,36,0
20,37,0
20,38,0
25,0,0.000103203
25,1,0.000407378
25,2,0.000543171
25,3,0.000608352
25,4,0.000738713
25,5,0.000858211
25,6,0.000945118
25,7,0.000907096
25,8,0.001086343
25,9,0.000912528
25,10,0.000863642
25,11,0.000879937
25,12,0.000581193
25,13,0.000418242
25,14,0.000369356
25,15,0.000277017
25,16,0.000168383
25,17,0.000184678
25,18,0.000206405
25,19,0.000195542
25,20,0.0002227
25,21,7.60E-05
25,22,0.000108634
25,23,5.43E-05
25,24,2.17E-05
25,25,1.63E-05
25,26,1.09E-05
25,27,1.09E-05
25,28,5.43E-06
25,29,0
25,30,1.09E-05
25,31,5.43E-06
25,32,1.09E-05
25,33,5.43E-06
25,34,5.43E-06
25,35,0
25,36,0
25,37,0
25,38,0
30,0,9.78E-05
30,1,0.00034763
30,2,0.000521444
30,3,0.000678964
30,4,0.000711554
30,5,0.000890801
30,6,0.000977708
30,7,0.001021162
30,8,0.000923391
30,9,0.000765871
30,10,0.00079303
30,11,0.000776735
30,12,0.000521444
30,13,0.000353061
30,14,0.000309608
30,15,0.000325903
30,16,0.00019011
30,17,0.00019011
30,18,0.000211837
30,19,0.00019011
30,20,0.000195542
30,21,0.000108634
30,22,0.000108634
30,23,9.23E-05
30,24,2.72E-05
30,25,2.17E-05
30,26,4.35E-05
30,27,2.72E-05
30,28,5.43E-06
30,29,1.63E-05
30,30,5.43E-06
30,31,1.63E-05
30,32,5.43E-06
30,33,5.43E-06
30,34,5.43E-06
30,35,0
30,36,0
30,37,0
30,38,0
35,0,9.23E-05
35,1,0.000304176
35,2,0.000494286
35,3,0.000619215
35,4,0.000716986
35,5,0.000749576
35,6,0.000874506
35,7,0.001010299
35,8,0.001080911
35,9,0.000847347
35,10,0.000689827
35,11,0.000668101
35,12,0.000548603
35,13,0.000396515
35,14,0.000282449
35,15,0.000228132
35,16,0.000184678
35,17,0.000162951
35,18,0.000114066
35,19,0.000152088
35,20,0.000152088
35,21,7.06E-05
35,22,0.000108634
35,23,8.15E-05
35,24,7.06E-05
35,25,3.80E-05
35,26,5.43E-05
35,27,2.72E-05
35,28,1.63E-05
35,29,0
35,30,5.43E-06
35,31,1.63E-05
35,32,0
35,33,5.43E-06
35,34,1.09E-05
35,35,0
35,36,0
35,37,0
35,38,0
40,0,9.78E-05
40,1,0.000304176
40,2,0.000472559
40,3,0.000657237
40,4,0.000716986
40,5,0.00076044
40,6,0.000852779
40,7,0.000966845
40,8,0.000896233
40,9,0.00079303
40,10,0.000678964
40,11,0.000543171
40,12,0.000597488
40,13,0.000396515
40,14,0.000271586
40,15,0.000195542
40,16,0.000228132
40,17,0.000162951
40,18,7.60E-05
40,19,0.000108634
40,20,5.43E-05
40,21,8.15E-05
40,22,8.69E-05
40,23,5.97E-05
40,24,0.000124929
40,25,4.35E-05
40,26,4.89E-05
40,27,4.35E-05
40,28,5.43E-06
40,29,2.17E-05
40,30,5.43E-06
40,31,5.43E-06
40,32,5.43E-06
40,33,5.43E-06
40,34,0
40,35,0
40,36,0
40,37,0
40,38,0
45,0,0.000103203
45,1,0.000315039
45,2,0.000516013
45,3,0.000700691
45,4,0.000684396
45,5,0.000879937
45,6,0.000874506
45,7,0.000716986
45,8,0.000771303
45,9,0.000885369
45,10,0.000673532
45,11,0.000630079
45,12,0.000592057
45,13,0.000391083
45,14,0.00038022
45,15,0.000244427
45,16,0.000298744
45,17,0.000135793
45,18,0.000103203
45,19,9.78E-05
45,20,8.69E-05
45,21,6.52E-05
45,22,7.06E-05
45,23,4.35E-05
45,24,5.43E-05
45,25,2.17E-05
45,26,1.63E-05
45,27,5.43E-05
45,28,3.26E-05
45,29,2.17E-05
45,30,3.80E-05
45,31,1.63E-05
45,32,0
45,33,0
45,34,0
45,35,0
45,36,0
45,37,0
45,38,0
50,0,7.06E-05
50,1,0.000298744
