,wd,ws,freq_val
435.0,55.0,6.0,0.0008147568765480381
436.0,55.0,7.0,0.0008256203015686786
437.0,55.0,8.0,0.0007332811888932343
438.0,55.0,9.0,0.0006137835136661887
439.0,55.0,10.0,0.0005757615260939469
440.0,55.0,11.0,0.0005486029635423457
441.0,55.0,12.0,0.0004942858384391431
442.0,55.0,13.0,0.000342197888150176
443.0,55.0,14.0,0.0002824490505366532
444.0,55.0,15.0,0.0002715856255160127
445.0,55.0,16.0,0.00024442706296441143
446.0,55.0,17.0,0.00023356363794377092
447.0,55.0,18.0,0.00011406596271672534
448.0,55.0,19.0,0.00013579281275800635
449.0,55.0,20.0,5.431712510320254e-05
450.0,55.0,21.0,7.604397514448356e-05
451.0,55.0,22.0,8.14756876548038e-05
452.0,55.0,23.0,0.00013579281275800635
453.0,55.0,24.0,5.974883761352279e-05
454.0,55.0,25.0,3.802198757224178e-05
455.0,55.0,26.0,2.715856255160127e-05
456.0,55.0,27.0,5.974883761352279e-05
457.0,55.0,28.0,1.0863425020640507e-05
458.0,55.0,29.0,5.431712510320254e-06
459.0,55.0,30.0,1.629513753096076e-05
460.0,55.0,31.0,0.0
461.0,55.0,32.0,0.0
462.0,55.0,33.0,0.0
463.0,55.0,34.0,0.0
464.0,55.0,35.0,0.0
465.0,55.0,36.0,0.0
466.0,55.0,37.0,0.0
467.0,55.0,38.0,0.0
468.0,60.0,0.0,7.604397514448356e-05
469.0,60.0,1.0,0.0002824490505366532
470.0,60.0,2.0,0.0004616955633772216
471.0,60.0,3.0,0.0006137835136661887
472.0,60.0,4.0,0.0007550080389345153
473.0,60.0,5.0,0.0008962325642028418
474.0,60.0,6.0,0.0008799374266718811
475.0,60.0,7.0,0.0007550080389345153
476.0,60.0,8.0,0.0007767348889757962
477.0,60.0,9.0,0.0008473471516099595
478.0,60.0,10.0,0.0005811932386042671
479.0,60.0,11.0,0.00039108330074305825
480.0,60.0,12.0,0.0003584930256811367
481.0,60.0,13.0,0.000342197888150176
482.0,60.0,14.0,0.00023899535045409116
483.0,60.0,15.0,0.00021183678790248988
